student_acc_test,student_acc_train,student_loss,teacher_acc_test,teacher_acc_train,teacher_loss,total_loss
0.4903,0.9035,0.3657015,0.5071,0.921,0.0077982703,0.37349978
0.4876,0.909,0.28650436,0.508,0.902,0.0059547313,0.29245907
0.48,0.9225,0.28853536,0.5097,0.9085,0.0057270294,0.2942624
0.489,0.904,0.3217201,0.5085,0.9065,0.006229875,0.32794997
0.4927,0.9175,0.32283515,0.5154,0.9105,0.00665325,0.32948843
0.4765,0.913,0.31559008,0.5079,0.916,0.00653895,0.32212907
0.4799,0.887,0.29450232,0.5154,0.921,0.0068338937,0.30133623
0.4808,0.9115,0.28493366,0.5063,0.9275,0.006356721,0.2912904
0.4901,0.917,0.289026,0.5156,0.916,0.0053617423,0.29438773
0.4873,0.9245,0.28262013,0.5127,0.9275,0.0057639405,0.28838405
0.4856,0.914,0.2707223,0.5079,0.925,0.006182393,0.27690464
0.4831,0.8995,0.2835105,0.5091,0.9255,0.0061736386,0.28968415
0.4927,0.912,0.29181448,0.5178,0.917,0.005906145,0.2977206
0.4947,0.928,0.2635842,0.5055,0.9155,0.0055411737,0.2691254
0.5013,0.927,0.2727003,0.5063,0.929,0.006365343,0.27906567
0.4606,0.8375,0.31191495,0.5091,0.9275,0.006912271,0.3188272
0.4909,0.903,0.33007163,0.5142,0.9365,0.0064575137,0.33652914
0.4886,0.9085,0.30484048,0.5185,0.936,0.006049684,0.31089017
0.4859,0.896,0.2520331,0.5153,0.9275,0.0054410086,0.25747412
0.4915,0.924,0.27527398,0.5086,0.9285,0.0057650767,0.28103906
0.4814,0.916,0.278543,0.512,0.925,0.005808467,0.28435144
0.4885,0.927,0.28492802,0.5143,0.934,0.0063589513,0.291287
0.4958,0.946,0.24414662,0.5127,0.938,0.0050852643,0.24923186
0.4797,0.9175,0.24281445,0.5051,0.9355,0.0064036595,0.24921808
0.4892,0.938,0.27743468,0.5081,0.936,0.005797033,0.28323168
0.4769,0.895,0.2588089,0.5119,0.9375,0.0071294704,0.26593837
0.4794,0.8985,0.28937763,0.5145,0.9295,0.0074240975,0.29680175
0.4775,0.902,0.27651927,0.5104,0.9335,0.005933369,0.28245264
0.4863,0.9345,0.27853006,0.5126,0.939,0.0054310425,0.28396112
0.4988,0.9375,0.25128207,0.51,0.9415,0.0055944594,0.25687653
0.4833,0.9355,0.24432269,0.5108,0.941,0.005128924,0.24945161
0.4936,0.9265,0.23920485,0.5098,0.947,0.0051883394,0.24439318
0.4923,0.937,0.23760763,0.5129,0.944,0.004775525,0.24238317
0.4816,0.922,0.21770732,0.5128,0.9485,0.005225876,0.2229332
0.4906,0.951,0.23064144,0.5122,0.9415,0.0052337674,0.23587522
0.4966,0.9505,0.21611047,0.511,0.9435,0.0046215863,0.22073206
0.4958,0.9455,0.23127353,0.5096,0.942,0.004374963,0.23564848
0.4756,0.9155,0.24695273,0.5096,0.9465,0.004858397,0.25181112
0.4779,0.898,0.2735055,0.5156,0.9475,0.0053446232,0.27885014
0.484,0.9175,0.2496047,0.5136,0.9475,0.0049764053,0.25458112
0.492,0.942,0.23043843,0.5172,0.9505,0.0046633654,0.23510177
0.4904,0.936,0.1937682,0.508,0.9485,0.0055731637,0.19934137
0.494,0.941,0.2127842,0.5167,0.951,0.0049604187,0.21774462
0.4911,0.954,0.20052154,0.5092,0.9565,0.0051551005,0.20567665
0.4951,0.9335,0.22094831,0.5135,0.942,0.004732091,0.22568043
0.49,0.93,0.2439712,0.5155,0.956,0.0051747453,0.24914594
0.4796,0.918,0.2172592,0.5113,0.956,0.0052961796,0.22255537
0.4916,0.95,0.2333292,0.5123,0.9545,0.0051292586,0.23845847
0.4937,0.948,0.15883121,0.5125,0.953,0.004308529,0.16313973
0.4989,0.95,0.23319721,0.5186,0.9595,0.0036085478,0.2368058
0.4794,0.9165,0.2551667,0.5173,0.9525,0.005150172,0.2603169
0.4809,0.9305,0.26110873,0.5175,0.958,0.0057403133,0.266849
0.4957,0.949,0.20159058,0.5146,0.952,0.0042100055,0.20580058
0.4887,0.9355,0.18217885,0.5086,0.955,0.0048111775,0.18699004
0.4914,0.9425,0.1746352,0.5129,0.9555,0.003701698,0.1783369
